review_id,customer_name,age,brand,model,price_usd,price_local,currency,exchange_rate_to_usd,rating,review_text,sentiment,country,language,review_date,verified_purchase,battery_life_rating,camera_rating,performance_rating,design_rating,display_rating,review_length,word_count,helpful_votes,source
1,Aryan Maharaj,45,Realme,Realme 12 Pro,337.31,₹27996.73,INR,83.0,2,Not worth the money spent. Wouldn’t recommend.,Negative,India,Hindi,2023-11-06,True,1,1,3,2,1,46,7,1,Amazon
2,Davi Miguel Sousa,18,Realme,Realme 12 Pro,307.78,R$1754.35,BRL,5.7,4,Absolutely love this phone! The camera is next level. Absolutely worth it!,Positive,Brazil,Portuguese,2023-03-30,True,3,2,4,3,2,74,12,5,Flipkart
3,Pahal Balay,27,Google,Pixel 6,864.53,₹71755.99,INR,83.0,4,Loving the clean UI and fast updates. Loving it so far!,Positive,India,Hindi,2022-12-07,True,3,5,3,2,4,55,11,8,AliExpress
4,David Guzman,19,Xiaomi,Redmi Note 13,660.94,د.إ2425.65,AED,3.67,3,Build quality feels solid and durable. No regrets buying this one.,Positive,UAE,English,2025-03-11,False,1,3,2,1,2,66,11,3,Amazon
5,Yago Leão,38,Motorola,Edge 50,792.13,R$4515.14,BRL,5.7,3,Not bad for daily use but could be optimized. Average experience overall.,Neutral,Brazil,Portuguese,2023-09-29,True,3,3,2,2,1,73,12,0,BestBuy
6,Lara Abreu,38,Apple,iPhone 14,948.79,R$5408.1,BRL,5.7,5,Battery easily lasts a day with heavy use. No regrets buying this one.,Positive,Brazil,Portuguese,2023-06-27,False,5,4,5,5,4,70,13,6,AliExpress
7,Gina Moore,40,OnePlus,OnePlus 12,420.13,د.إ1541.88,AED,3.67,3,Loving the clean UI and fast updates. Absolutely worth it!,Positive,UAE,English,2024-03-27,False,3,3,2,1,2,58,10,2,eBay
8,James Howard,39,Apple,iPhone SE,1443.76,A$2208.95,AUD,1.53,2,"Phone hangs often, regret buying it. Wouldn’t recommend.",Negative,Australia,English,2024-04-08,True,2,1,2,2,2,56,8,3,Amazon
9,Rosalia Beyer,32,Realme,Realme 12 Pro,275.73,€256.43,EUR,0.93,4,Battery easily lasts a day with heavy use. Loving it so far!,Positive,Germany,German,2024-10-04,False,4,3,2,3,3,60,12,8,eBay
10,Valerie Gray,31,OnePlus,OnePlus Nord 3,545.57,A$834.72,AUD,1.53,3,Smooth performance even after months of use. No regrets buying this one.,Positive,Australia,English,2025-02-25,True,2,2,3,3,2,72,12,4,BestBuy
11,Aimee Hurst-Taylor,20,Realme,Realme 12 Pro,462.3,£360.59,GBP,0.78,3,"Does what it’s supposed to, nothing special. Fine but could be better.",Neutral,UK,English,2025-04-05,True,4,1,3,5,2,70,12,0,eBay
12,Benjamin Stanley,30,Xiaomi,Mi 13 Pro,495.45,C$683.72,CAD,1.38,2,Not bad for daily use but could be optimized. Okay for casual use.,Neutral,Canada,English,2024-01-14,True,1,2,1,2,1,66,13,2,Amazon
13,Igor Brito,18,Motorola,Moto G Power,404.64,R$2306.45,BRL,5.7,5,Worth every penny. Highly recommended! Absolutely worth it!,Positive,Brazil,Portuguese,2024-06-03,True,5,5,3,5,5,59,8,7,AliExpress
14,Mark Diaz,32,Realme,Realme Narzo 70,247.88,C$342.07,CAD,1.38,2,Charging is very slow compared to other brands. Returning this soon.,Negative,Canada,English,2024-05-19,False,1,3,2,1,2,68,11,2,eBay
15,Ms Hollie Phillips,39,Samsung,Galaxy Note 20,1146.49,£894.26,GBP,0.78,3,"Phone is fine, not the best in this range. Fine but could be better.",Neutral,UK,English,2025-09-17,True,2,3,1,2,3,68,14,4,BestBuy
16,Ana Sophia Pereira,19,Realme,Realme Narzo 70,262.0,R$1493.4,BRL,5.7,2,Not bad for daily use but could be optimized. Okay for casual use.,Neutral,Brazil,Portuguese,2025-07-04,False,2,1,2,2,1,66,13,3,Flipkart
17,Nicholas Martin,18,Google,Pixel 7a,1010.68,$1010.68,USD,1.0,4,Absolutely love this phone! The camera is next level. Absolutely worth it!,Positive,USA,English,2024-06-02,True,4,4,3,4,4,74,12,11,Flipkart
18,Henry Rodrigues,39,Motorola,Razr 40,678.98,R$3870.19,BRL,5.7,2,Neutral feelings — neither great nor bad. Okay for casual use.,Neutral,Brazil,Portuguese,2024-03-08,True,2,1,2,1,1,62,11,1,AliExpress
19,Erdal Beckmann,18,Xiaomi,Poco X6,432.8,€402.5,EUR,0.93,5,Loving the clean UI and fast updates. Absolutely worth it!,Positive,Germany,German,2024-02-24,True,4,5,5,3,4,58,10,2,Amazon
20,Austin Gentry,43,Realme,Realme Narzo 70,403.17,A$616.85,AUD,1.53,5,Battery easily lasts a day with heavy use. No regrets buying this one.,Positive,Australia,English,2025-03-21,True,5,5,5,5,4,70,13,3,eBay
21,Charles Kelly-Morley,46,Apple,iPhone SE,1470.12,£1146.69,GBP,0.78,1,Customer service was disappointing. Very disappointed.,Negative,UK,English,2025-07-16,False,1,1,1,1,1,54,6,3,BestBuy
22,Derek Wright,22,Motorola,Razr 40,567.03,C$782.5,CAD,1.38,5,Smooth performance even after months of use. No regrets buying this one.,Positive,Canada,English,2025-03-12,True,3,4,5,4,4,72,12,5,AliExpress
23,Priya Rastogi,53,Motorola,Razr 40,227.18,₹18855.94,INR,83.0,4,Build quality feels solid and durable. No regrets buying this one.,Positive,India,Hindi,2024-05-06,True,4,4,3,4,4,66,11,9,Amazon
24,Zachary Hicks,25,OnePlus,OnePlus Nord 3,395.08,C$545.21,CAD,1.38,4,Absolutely love this phone! The camera is next level. Loving it so far!,Positive,Canada,English,2023-03-12,False,4,4,3,3,3,71,13,10,Amazon
25,Shannon Hernandez,27,Apple,iPhone 15 Pro,997.61,$997.61,USD,1.0,3,"Does what it’s supposed to, nothing special. Okay for casual use.",Neutral,USA,English,2023-06-27,True,2,4,3,3,4,65,11,2,eBay
26,Prof. Anne Krause,27,Google,Pixel 8,506.5,€471.05,EUR,0.93,2,Customer service was disappointing. Returning this soon.,Negative,Germany,German,2024-06-05,False,1,3,3,1,1,56,7,3,AliExpress
27,Julie King,29,Motorola,Razr 40,673.77,C$929.8,CAD,1.38,3,Worth every penny. Highly recommended! Best purchase of the year!,Positive,Canada,English,2025-02-27,False,1,4,2,3,3,65,10,2,BestBuy
28,Alexandra Le,25,Xiaomi,Poco X6,236.38,د.إ867.51,AED,3.67,3,Battery drains too fast even on standby. Wouldn’t recommend.,Negative,UAE,English,2025-09-15,True,3,1,1,2,2,60,9,4,BestBuy
29,Nicole Mack,29,Apple,iPhone 13,1094.1,C$1509.86,CAD,1.38,3,Absolutely love this phone! The camera is next level. Absolutely worth it!,Positive,Canada,English,2024-04-02,True,4,3,3,3,1,74,12,3,Amazon
30,Chaaya Saran,30,Samsung,Galaxy S24,1369.88,₹113700.04,INR,83.0,3,Fast charging is a lifesaver. Absolutely worth it!,Positive,India,Hindi,2023-06-24,True,3,3,3,5,3,50,8,5,BestBuy
31,Troy Liu,39,Realme,Realme Narzo 70,298.0,C$411.24,CAD,1.38,1,Customer service was disappointing. Wouldn’t recommend.,Negative,Canada,English,2023-12-05,True,1,1,1,1,2,55,6,0,AliExpress
32,Pamela Romero,33,Google,Pixel 7a,1084.64,C$1496.8,CAD,1.38,1,Charging is very slow compared to other brands. Returning this soon.,Negative,Canada,English,2023-04-05,True,2,1,1,1,1,68,11,5,Amazon
33,Elizabeth Fowler,25,Realme,Realme Narzo 70,571.75,A$874.78,AUD,1.53,2,Speaker quality is bad and muffled. Returning this soon.,Negative,Australia,English,2025-05-25,True,1,3,1,3,1,56,9,0,Amazon
34,Michael Prakash,45,Realme,Realme 12 Pro,543.18,₹45083.94,INR,83.0,1,Speaker quality is bad and muffled. Not up to the mark.,Negative,India,Hindi,2023-06-29,False,1,1,1,1,1,55,11,3,Amazon
35,Paula Moreno,45,Samsung,Galaxy A55,1071.57,C$1478.77,CAD,1.38,4,Loving the clean UI and fast updates. Best purchase of the year!,Positive,Canada,English,2022-10-22,True,4,5,5,4,2,64,12,4,Flipkart
36,Katherine Rodriguez,40,OnePlus,OnePlus Nord 3,438.64,C$605.32,CAD,1.38,4,Battery easily lasts a day with heavy use. Best purchase of the year!,Positive,Canada,English,2024-05-07,False,2,2,1,3,4,69,13,8,AliExpress
37,Wriddhish Bhardwaj,34,Apple,iPhone 14,906.6,₹75247.8,INR,83.0,4,Battery easily lasts a day with heavy use. Loving it so far!,Positive,India,Hindi,2023-10-31,True,5,2,3,3,2,60,12,5,eBay
38,Anna Liz Barros,21,Xiaomi,Redmi Note 13,220.43,R$1256.45,BRL,5.7,4,Absolutely love this phone! The camera is next level. Loving it so far!,Positive,Brazil,Portuguese,2024-11-14,True,3,2,3,4,1,71,13,4,eBay
39,Raimund Reichmann,27,OnePlus,OnePlus Nord 3,917.83,€853.58,EUR,0.93,1,Speaker quality is bad and muffled. Returning this soon.,Negative,Germany,German,2023-05-05,True,1,1,1,1,1,56,9,2,BestBuy
40,Vaishnavi Gandhi,38,Samsung,Galaxy S24,1147.47,₹95240.01,INR,83.0,2,Fast charging is a lifesaver. Absolutely worth it!,Positive,India,Hindi,2023-12-07,True,1,2,2,1,2,50,8,4,eBay
41,Leon Davison,19,Google,Pixel 6,512.04,£399.39,GBP,0.78,3,Absolutely love this phone! The camera is next level. Absolutely worth it!,Positive,UK,English,2023-09-16,False,4,3,2,4,3,74,12,5,Amazon
42,Nicole Vaughn,18,Google,Pixel 8,887.55,C$1224.82,CAD,1.38,2,"Design is okay, a bit bulky though. Okay for casual use.",Neutral,Canada,English,2024-02-18,False,2,1,1,1,1,56,11,2,AliExpress
43,Michael Brooks,29,Samsung,Galaxy S24,924.51,$924.51,USD,1.0,4,Display is crisp and vibrant — perfect for gaming. No regrets buying this one.,Positive,USA,English,2025-01-03,False,4,4,3,3,4,78,14,5,Flipkart
44,David Brown,25,Realme,Realme Narzo 70,358.68,C$494.98,CAD,1.38,4,Worth every penny. Highly recommended! Best purchase of the year!,Positive,Canada,English,2022-11-23,True,3,2,4,2,4,65,10,3,BestBuy
45,Crystal Robinson,37,Xiaomi,Mi 13 Pro,267.21,$267.21,USD,1.0,4,Absolutely love this phone! The camera is next level. Best purchase of the year!,Positive,USA,English,2023-02-09,True,5,4,3,5,2,80,14,7,AliExpress
46,Amy Jones,28,Apple,iPhone 14,1292.9,C$1784.2,CAD,1.38,2,"Does what it’s supposed to, nothing special. Average experience overall.",Neutral,Canada,English,2022-12-09,True,2,1,2,1,1,72,10,3,BestBuy
47,Andrea Young,43,Apple,iPhone 13,1401.76,A$2144.69,AUD,1.53,4,Worth every penny. Highly recommended! Loving it so far!,Positive,Australia,English,2025-08-26,True,3,1,5,3,2,56,9,8,AliExpress
48,Tanish Zacharia,36,Realme,Realme Narzo 70,238.49,₹19794.67,INR,83.0,3,"Does what it’s supposed to, nothing special. Average experience overall.",Neutral,India,Hindi,2023-05-15,False,5,3,3,2,2,72,10,2,Amazon
49,Sonya Johnston,38,Samsung,Galaxy Note 20,969.89,$969.89,USD,1.0,2,"Performance is average, camera okay. Fine but could be better.",Neutral,USA,English,2023-11-03,True,3,1,1,1,2,62,10,3,BestBuy
50,Rhonda Lee,31,OnePlus,OnePlus 11R,574.7,C$793.09,CAD,1.38,5,Fast charging is a lifesaver. Loving it so far!,Positive,Canada,English,2023-03-21,True,5,4,2,5,5,47,9,4,BestBuy
51,Ing. Hildegart Langern,34,Google,Pixel 7a,917.99,€853.73,EUR,0.93,1,Overheats quickly while gaming. Very disappointed.,Negative,Germany,German,2024-10-16,True,2,2,2,1,1,50,6,2,BestBuy
52,Amy Valdez,55,Apple,iPhone 14,1436.67,A$2198.11,AUD,1.53,1,Camera quality is very poor indoors. Not up to the mark.,Negative,Australia,English,2025-07-21,True,1,1,1,2,1,56,11,0,eBay
53,Bento Guerra,30,Google,Pixel 6,700.1,R$3990.57,BRL,5.7,5,Loving the clean UI and fast updates. Absolutely worth it!,Positive,Brazil,Portuguese,2024-04-01,True,3,3,4,5,4,58,10,3,Flipkart
54,Ashley Lee,48,Google,Pixel 8,1048.91,A$1604.83,AUD,1.53,3,Build quality feels solid and durable. Loving it so far!,Positive,Australia,English,2025-02-01,True,4,2,1,5,3,56,10,4,Amazon
55,Logan Sami,18,OnePlus,OnePlus Nord 3,473.95,₹39337.85,INR,83.0,5,Fast charging is a lifesaver. Loving it so far!,Positive,India,Hindi,2023-08-03,True,5,2,2,3,3,47,9,6,Amazon
